rank,TABLE_NAME,fulldate,daypart,monthpart,yearpart,monthnum,daynum,yearnum,TABLE_ROWS
1051,fo14mar2005bhav,14mar2005,14,mar,2005,3,14,2005,4544
1052,fo15mar2005bhav,15mar2005,15,mar,2005,3,15,2005,4360
1053,fo16mar2005bhav,16mar2005,16,mar,2005,3,16,2005,4364
1054,fo17mar2005bhav,17mar2005,17,mar,2005,3,17,2005,4432
1055,fo18mar2005bhav,18mar2005,18,mar,2005,3,18,2005,4448
1056,fo21mar2005bhav,21mar2005,21,mar,2005,3,21,2005,4450
1057,fo22mar2005bhav,22mar2005,22,mar,2005,3,22,2005,4542
1058,fo23mar2005bhav,23mar2005,23,mar,2005,3,23,2005,4648
1059,fo24mar2005bhav,24mar2005,24,mar,2005,3,24,2005,4653
1060,fo28mar2005bhav,28mar2005,28,mar,2005,3,28,2005,4655
1061,fo29mar2005bhav,29mar2005,29,mar,2005,3,29,2005,4744
1062,fo30mar2005bhav,30mar2005,30,mar,2005,3,30,2005,4742
1063,fo31mar2005bhav,31mar2005,31,mar,2005,3,31,2005,5524
1064,fo01apr2005bhav,01apr2005,01,apr,2005,4,1,2005,3880
1065,fo04apr2005bhav,04apr2005,04,apr,2005,4,4,2005,3888
1066,fo05apr2005bhav,05apr2005,05,apr,2005,4,5,2005,3966
1067,fo06apr2005bhav,06apr2005,06,apr,2005,4,6,2005,3972
1068,fo07apr2005bhav,07apr2005,07,apr,2005,4,7,2005,3974
1069,fo08apr2005bhav,08apr2005,08,apr,2005,4,8,2005,4077
1070,fo11apr2005bhav,11apr2005,11,apr,2005,4,11,2005,4143
1071,fo12apr2005bhav,12apr2005,12,apr,2005,4,12,2005,4147
1072,fo13apr2005bhav,13apr2005,13,apr,2005,4,13,2005,4147
1073,fo15apr2005bhav,15apr2005,15,apr,2005,4,15,2005,4448
1074,fo18apr2005bhav,18apr2005,18,apr,2005,4,18,2005,4560
1075,fo19apr2005bhav,19apr2005,19,apr,2005,4,19,2005,6252
1076,fo20apr2005bhav,20apr2005,20,apr,2005,4,20,2005,6113
1077,fo21apr2005bhav,21apr2005,21,apr,2005,4,21,2005,6418
1078,fo22apr2005bhav,22apr2005,22,apr,2005,4,22,2005,6491
1079,fo25apr2005bhav,25apr2005,25,apr,2005,4,25,2005,6783
1080,fo26apr2005bhav,26apr2005,26,apr,2005,4,26,2005,6612
1081,fo27apr2005bhav,27apr2005,27,apr,2005,4,27,2005,6912
1082,fo28apr2005bhav,28apr2005,28,apr,2005,4,28,2005,7084
1083,fo29apr2005bhav,29apr2005,29,apr,2005,4,29,2005,5895
1084,fo02may2005bhav,02may2005,02,may,2005,5,2,2005,5955
1085,fo03may2005bhav,03may2005,03,may,2005,5,3,2005,6231
1086,fo04may2005bhav,04may2005,04,may,2005,5,4,2005,6209
1087,fo05may2005bhav,05may2005,05,may,2005,5,5,2005,6169
1088,fo06may2005bhav,06may2005,06,may,2005,5,6,2005,6274
1089,fo09may2005bhav,09may2005,09,may,2005,5,9,2005,6537
1090,fo10may2005bhav,10may2005,10,may,2005,5,10,2005,6561
1091,fo11may2005bhav,11may2005,11,may,2005,5,11,2005,7413
1092,fo12may2005bhav,12may2005,12,may,2005,5,12,2005,7357
1093,fo13may2005bhav,13may2005,13,may,2005,5,13,2005,7486
1094,fo16may2005bhav,16may2005,16,may,2005,5,16,2005,7761
1095,fo17may2005bhav,17may2005,17,may,2005,5,17,2005,7784
1096,fo18may2005bhav,18may2005,18,may,2005,5,18,2005,7596
1097,fo19may2005bhav,19may2005,19,may,2005,5,19,2005,7769
1098,fo20may2005bhav,20may2005,20,may,2005,5,20,2005,7881
1099,fo23may2005bhav,23may2005,23,may,2005,5,23,2005,7659
1100,fo24may2005bhav,24may2005,24,may,2005,5,24,2005,7769
1101,fo25may2005bhav,25may2005,25,may,2005,5,25,2005,7836
1102,fo26may2005bhav,26may2005,26,may,2005,5,26,2005,8096
1103,fo27may2005bhav,27may2005,27,may,2005,5,27,2005,7582
1104,fo30may2005bhav,30may2005,30,may,2005,5,30,2005,7508
1105,fo31may2005bhav,31may2005,31,may,2005,5,31,2005,7881
1106,fo01jun2005bhav,01jun2005,01,jun,2005,6,1,2005,7733
1107,fo02jun2005bhav,02jun2005,02,jun,2005,6,2,2005,7844
1108,fo03jun2005bhav,03jun2005,03,jun,2005,6,3,2005,8144
1109,fo06jun2005bhav,06jun2005,06,jun,2005,6,6,2005,8351
1110,fo07jun2005bhav,07jun2005,07,jun,2005,6,7,2005,8580
1111,fo08jun2005bhav,08jun2005,08,jun,2005,6,8,2005,8704
1112,fo09jun2005bhav,09jun2005,09,jun,2005,6,9,2005,8461
1113,fo10jun2005bhav,10jun2005,10,jun,2005,6,10,2005,8573
1114,fo13jun2005bhav,13jun2005,13,jun,2005,6,13,2005,8914
1115,fo14jun2005bhav,14jun2005,14,jun,2005,6,14,2005,9006
1116,fo15jun2005bhav,15jun2005,15,jun,2005,6,15,2005,9108
1117,fo16jun2005bhav,16jun2005,16,jun,2005,6,16,2005,8829
1118,fo17jun2005bhav,17jun2005,17,jun,2005,6,17,2005,9094
1119,fo20jun2005bhav,20jun2005,20,jun,2005,6,20,2005,9430
1120,fo21jun2005bhav,21jun2005,21,jun,2005,6,21,2005,9397
1121,fo22jun2005bhav,22jun2005,22,jun,2005,6,22,2005,9494
1122,fo23jun2005bhav,23jun2005,23,jun,2005,6,23,2005,9599
1123,fo24jun2005bhav,24jun2005,24,jun,2005,6,24,2005,9576
1124,fo27jun2005bhav,27jun2005,27,jun,2005,6,27,2005,9816
1125,fo28jun2005bhav,28jun2005,28,jun,2005,6,28,2005,9758
1126,fo29jun2005bhav,29jun2005,29,jun,2005,6,29,2005,9638
1127,fo30jun2005bhav,30jun2005,30,jun,2005,6,30,2005,11822
1128,fo01jul2005bhav,01jul2005,01,jul,2005,7,1,2005,8530
1129,fo04jul2005bhav,04jul2005,04,jul,2005,7,4,2005,8834
1130,fo05jul2005bhav,05jul2005,05,jul,2005,7,5,2005,8984
1131,fo06jul2005bhav,06jul2005,06,jul,2005,7,6,2005,9144
1132,fo07jul2005bhav,07jul2005,07,jul,2005,7,7,2005,9304
1133,fo08jul2005bhav,08jul2005,08,jul,2005,7,8,2005,9258
1134,fo11jul2005bhav,11jul2005,11,jul,2005,7,11,2005,9499
1135,fo12jul2005bhav,12jul2005,12,jul,2005,7,12,2005,9947
1136,fo13jul2005bhav,13jul2005,13,jul,2005,7,13,2005,9776
1137,fo14jul2005bhav,14jul2005,14,jul,2005,7,14,2005,10145
1138,fo15jul2005bhav,15jul2005,15,jul,2005,7,15,2005,10180
1139,fo18jul2005bhav,18jul2005,18,jul,2005,7,18,2005,10077
1140,fo19jul2005bhav,19jul2005,19,jul,2005,7,19,2005,10433
1141,fo20jul2005bhav,20jul2005,20,jul,2005,7,20,2005,10433
1142,fo21jul2005bhav,21jul2005,21,jul,2005,7,21,2005,10379
1143,fo22jul2005bhav,22jul2005,22,jul,2005,7,22,2005,10711
1144,fo25jul2005bhav,25jul2005,25,jul,2005,7,25,2005,10774
1145,fo26jul2005bhav,26jul2005,26,jul,2005,7,26,2005,11137
1146,fo27jul2005bhav,27jul2005,27,jul,2005,7,27,2005,11479
1147,fo29jul2005bhav,29jul2005,29,jul,2005,7,29,2005,11340
1148,fo01aug2005bhav,01aug2005,01,aug,2005,8,1,2005,9322
1149,fo02aug2005bhav,02aug2005,02,aug,2005,8,2,2005,9597
1150,fo03aug2005bhav,03aug2005,03,aug,2005,8,3,2005,9499
1151,fo04aug2005bhav,04aug2005,04,aug,2005,8,4,2005,9724
1152,fo05aug2005bhav,05aug2005,05,aug,2005,8,5,2005,10088
1153,fo08aug2005bhav,08aug2005,08,aug,2005,8,8,2005,10145
1154,fo09aug2005bhav,09aug2005,09,aug,2005,8,9,2005,10241
1155,fo10aug2005bhav,10aug2005,10,aug,2005,8,10,2005,10155
1156,fo11aug2005bhav,11aug2005,11,aug,2005,8,11,2005,10620
1157,fo12aug2005bhav,12aug2005,12,aug,2005,8,12,2005,10647
1158,fo16aug2005bhav,16aug2005,16,aug,2005,8,16,2005,10653
1159,fo17aug2005bhav,17aug2005,17,aug,2005,8,17,2005,10668
1160,fo18aug2005bhav,18aug2005,18,aug,2005,8,18,2005,10780
1161,fo19aug2005bhav,19aug2005,19,aug,2005,8,19,2005,10774
1162,fo22aug2005bhav,22aug2005,22,aug,2005,8,22,2005,10758
1163,fo23aug2005bhav,23aug2005,23,aug,2005,8,23,2005,10992
1164,fo24aug2005bhav,24aug2005,24,aug,2005,8,24,2005,10720
1165,fo25aug2005bhav,25aug2005,25,aug,2005,8,25,2005,10998
1166,fo26aug2005bhav,26aug2005,26,aug,2005,8,26,2005,8521
1167,fo29aug2005bhav,29aug2005,29,aug,2005,8,29,2005,8870
1168,fo30aug2005bhav,30aug2005,30,aug,2005,8,30,2005,8888
1169,fo31aug2005bhav,31aug2005,31,aug,2005,8,31,2005,9218
1170,fo01sep2005bhav,01sep2005,01,sep,2005,9,1,2005,9202
1171,fo02sep2005bhav,02sep2005,02,sep,2005,9,2,2005,9248
1172,fo05sep2005bhav,05sep2005,05,sep,2005,9,5,2005,9569
1173,fo06sep2005bhav,06sep2005,06,sep,2005,9,6,2005,9661
1174,fo08sep2005bhav,08sep2005,08,sep,2005,9,8,2005,9419
1175,fo09sep2005bhav,09sep2005,09,sep,2005,9,9,2005,9768
1176,fo12sep2005bhav,12sep2005,12,sep,2005,9,12,2005,10008
1177,fo13sep2005bhav,13sep2005,13,sep,2005,9,13,2005,10195
1178,fo14sep2005bhav,14sep2005,14,sep,2005,9,14,2005,10291
1179,fo15sep2005bhav,15sep2005,15,sep,2005,9,15,2005,10317
1180,fo16sep2005bhav,16sep2005,16,sep,2005,9,16,2005,10641
1181,fo19sep2005bhav,19sep2005,19,sep,2005,9,19,2005,10544
1182,fo20sep2005bhav,20sep2005,20,sep,2005,9,20,2005,10709
1183,fo21sep2005bhav,21sep2005,21,sep,2005,9,21,2005,11041
1184,fo22sep2005bhav,22sep2005,22,sep,2005,9,22,2005,11211
1185,fo23sep2005bhav,23sep2005,23,sep,2005,9,23,2005,11211
1186,fo26sep2005bhav,26sep2005,26,sep,2005,9,26,2005,11340
1187,fo27sep2005bhav,27sep2005,27,sep,2005,9,27,2005,11334
1188,fo28sep2005bhav,28sep2005,28,sep,2005,9,28,2005,11141
1189,fo29sep2005bhav,29sep2005,29,sep,2005,9,29,2005,12883
1190,fo30sep2005bhav,30sep2005,30,sep,2005,9,30,2005,9029
1191,fo03oct2005bhav,03oct2005,03,oct,2005,10,3,2005,9209
1192,fo04oct2005bhav,04oct2005,04,oct,2005,10,4,2005,9267
1193,fo05oct2005bhav,05oct2005,05,oct,2005,10,5,2005,9578
1194,fo06oct2005bhav,06oct2005,06,oct,2005,10,6,2005,9690
1195,fo07oct2005bhav,07oct2005,07,oct,2005,10,7,2005,9734
1196,fo10oct2005bhav,10oct2005,10,oct,2005,10,10,2005,9772
1197,fo11oct2005bhav,11oct2005,11,oct,2005,10,11,2005,9753
1198,fo13oct2005bhav,13oct2005,13,oct,2005,10,13,2005,9677
1199,fo14oct2005bhav,14oct2005,14,oct,2005,10,14,2005,10120
1200,fo17oct2005bhav,17oct2005,17,oct,2005,10,17,2005,10160
1201,fo18oct2005bhav,18oct2005,18,oct,2005,10,18,2005,10636
1202,fo19oct2005bhav,19oct2005,19,oct,2005,10,19,2005,10881
1203,fo20oct2005bhav,20oct2005,20,oct,2005,10,20,2005,11088
1204,fo21oct2005bhav,21oct2005,21,oct,2005,10,21,2005,11055
1205,fo24oct2005bhav,24oct2005,24,oct,2005,10,24,2005,11323
1206,fo25oct2005bhav,25oct2005,25,oct,2005,10,25,2005,11037
1207,fo26oct2005bhav,26oct2005,26,oct,2005,10,26,2005,11284
1208,fo27oct2005bhav,27oct2005,27,oct,2005,10,27,2005,13093
1209,fo28oct2005bhav,28oct2005,28,oct,2005,10,28,2005,9564
1210,fo31oct2005bhav,31oct2005,31,oct,2005,10,31,2005,9979
1211,fo01nov2005bhav,01nov2005,01,nov,2005,11,1,2005,10078
1212,fo02nov2005bhav,02nov2005,02,nov,2005,11,2,2005,10165
1213,fo07nov2005bhav,07nov2005,07,nov,2005,11,7,2005,10143
1214,fo08nov2005bhav,08nov2005,08,nov,2005,11,8,2005,10464
1215,fo09nov2005bhav,09nov2005,09,nov,2005,11,9,2005,10608
1216,fo10nov2005bhav,10nov2005,10,nov,2005,11,10,2005,10599
1217,fo11nov2005bhav,11nov2005,11,nov,2005,11,11,2005,10605
1218,fo14nov2005bhav,14nov2005,14,nov,2005,11,14,2005,10616
1219,fo16nov2005bhav,16nov2005,16,nov,2005,11,16,2005,11071
1220,fo17nov2005bhav,17nov2005,17,nov,2005,11,17,2005,11088
1221,fo18nov2005bhav,18nov2005,18,nov,2005,11,18,2005,10998
1222,fo21nov2005bhav,21nov2005,21,nov,2005,11,21,2005,11340
1223,fo22nov2005bhav,22nov2005,22,nov,2005,11,22,2005,11396
1224,fo23nov2005bhav,23nov2005,23,nov,2005,11,23,2005,11462
1225,fo24nov2005bhav,24nov2005,24,nov,2005,11,24,2005,13048
1226,fo25nov2005bhav,25nov2005,25,nov,2005,11,25,2005,9301
1227,fo28nov2005bhav,28nov2005,28,nov,2005,11,28,2005,9672
1228,fo29nov2005bhav,29nov2005,29,nov,2005,11,29,2005,10008
1229,fo30nov2005bhav,30nov2005,30,nov,2005,11,30,2005,10115
1230,fo01dec2005bhav,01dec2005,01,dec,2005,12,1,2005,10145
1231,fo02dec2005bhav,02dec2005,02,dec,2005,12,2,2005,10266
1232,fo05dec2005bhav,05dec2005,05,dec,2005,12,5,2005,10296
1233,fo06dec2005bhav,06dec2005,06,dec,2005,12,6,2005,10118
1234,fo07dec2005bhav,07dec2005,07,dec,2005,12,7,2005,10500
1235,fo08dec2005bhav,08dec2005,08,dec,2005,12,8,2005,10490
1236,fo09dec2005bhav,09dec2005,09,dec,2005,12,9,2005,10395
1237,fo12dec2005bhav,12dec2005,12,dec,2005,12,12,2005,10780
1238,fo13dec2005bhav,13dec2005,13,dec,2005,12,13,2005,10965
1239,fo14dec2005bhav,14dec2005,14,dec,2005,12,14,2005,10796
1240,fo15dec2005bhav,15dec2005,15,dec,2005,12,15,2005,10851
1241,fo16dec2005bhav,16dec2005,16,dec,2005,12,16,2005,11222
1242,fo19dec2005bhav,19dec2005,19,dec,2005,12,19,2005,11413
1243,fo20dec2005bhav,20dec2005,20,dec,2005,12,20,2005,11548
1244,fo21dec2005bhav,21dec2005,21,dec,2005,12,21,2005,11303
1245,fo22dec2005bhav,22dec2005,22,dec,2005,12,22,2005,11649
1246,fo23dec2005bhav,23dec2005,23,dec,2005,12,23,2005,11333
1247,fo26dec2005bhav,26dec2005,26,dec,2005,12,26,2005,11574
1248,fo27dec2005bhav,27dec2005,27,dec,2005,12,27,2005,11750
1249,fo28dec2005bhav,28dec2005,28,dec,2005,12,28,2005,11698
1250,fo29dec2005bhav,29dec2005,29,dec,2005,12,29,2005,13459
1251,fo30dec2005bhav,30dec2005,30,dec,2005,12,30,2005,9222
1252,fo02jan2006bhav,02jan2006,02,jan,2006,1,2,2006,9054
1253,fo03jan2006bhav,03jan2006,03,jan,2006,1,3,2006,9379
1254,fo04jan2006bhav,04jan2006,04,jan,2006,1,4,2006,9646
1255,fo05jan2006bhav,05jan2006,05,jan,2006,1,5,2006,10480
1256,fo06jan2006bhav,06jan2006,06,jan,2006,1,6,2006,10290
1257,fo09jan2006bhav,09jan2006,09,jan,2006,1,9,2006,10302
1258,fo10jan2006bhav,10jan2006,10,jan,2006,1,10,2006,10545
1259,fo12jan2006bhav,12jan2006,12,jan,2006,1,12,2006,10421
1260,fo13jan2006bhav,13jan2006,13,jan,2006,1,13,2006,10467
1261,fo16jan2006bhav,16jan2006,16,jan,2006,1,16,2006,10732
1262,fo17jan2006bhav,17jan2006,17,jan,2006,1,17,2006,11121
1263,fo18jan2006bhav,18jan2006,18,jan,2006,1,18,2006,10873
1264,fo19jan2006bhav,19jan2006,19,jan,2006,1,19,2006,10828
1265,fo20jan2006bhav,20jan2006,20,jan,2006,1,20,2006,10998
1266,fo23jan2006bhav,23jan2006,23,jan,2006,1,23,2006,11099
1267,fo24jan2006bhav,24jan2006,24,jan,2006,1,24,2006,10916
1268,fo25jan2006bhav,25jan2006,25,jan,2006,1,25,2006,13250
1269,fo27jan2006bhav,27jan2006,27,jan,2006,1,27,2006,9006
1270,fo30jan2006bhav,30jan2006,30,jan,2006,1,30,2006,8999
1271,fo31jan2006bhav,31jan2006,31,jan,2006,1,31,2006,9287
1272,fo01feb2006bhav,01feb2006,01,feb,2006,2,1,2006,9490
1273,fo02feb2006bhav,02feb2006,02,feb,2006,2,2,2006,9438
1274,fo03feb2006bhav,03feb2006,03,feb,2006,2,3,2006,9593
1275,fo06feb2006bhav,06feb2006,06,feb,2006,2,6,2006,10010
1276,fo07feb2006bhav,07feb2006,07,feb,2006,2,7,2006,10073
1277,fo08feb2006bhav,08feb2006,08,feb,2006,2,8,2006,10160
1278,fo10feb2006bhav,10feb2006,10,feb,2006,2,10,2006,10291
1279,fo13feb2006bhav,13feb2006,13,feb,2006,2,13,2006,10408
1280,fo14feb2006bhav,14feb2006,14,feb,2006,2,14,2006,10530
1281,fo15feb2006bhav,15feb2006,15,feb,2006,2,15,2006,10641
1282,fo16feb2006bhav,16feb2006,16,feb,2006,2,16,2006,10599
1283,fo17feb2006bhav,17feb2006,17,feb,2006,2,17,2006,10679
1284,fo20feb2006bhav,20feb2006,20,feb,2006,2,20,2006,10403
1285,fo21feb2006bhav,21feb2006,21,feb,2006,2,21,2006,10711
1286,fo22feb2006bhav,22feb2006,22,feb,2006,2,22,2006,10828
1287,fo23feb2006bhav,23feb2006,23,feb,2006,2,23,2006,12650
1288,fo24feb2006bhav,24feb2006,24,feb,2006,2,24,2006,8677
1289,fo27feb2006bhav,27feb2006,27,feb,2006,2,27,2006,8698
1290,fo28feb2006bhav,28feb2006,28,feb,2006,2,28,2006,8756
1291,fo01mar2006bhav,01mar2006,01,mar,2006,3,1,2006,9045
1292,fo02mar2006bhav,02mar2006,02,mar,2006,3,2,2006,9611
1293,fo03mar2006bhav,03mar2006,03,mar,2006,3,3,2006,9405
1294,fo06mar2006bhav,06mar2006,06,mar,2006,3,6,2006,9884
1295,fo07mar2006bhav,07mar2006,07,mar,2006,3,7,2006,10083
1296,fo08mar2006bhav,08mar2006,08,mar,2006,3,8,2006,10195
1297,fo09mar2006bhav,09mar2006,09,mar,2006,3,9,2006,10054
1298,fo10mar2006bhav,10mar2006,10,mar,2006,3,10,2006,10114
1299,fo13mar2006bhav,13mar2006,13,mar,2006,3,13,2006,10545
1300,fo14mar2006bhav,14mar2006,14,mar,2006,3,14,2006,10514
1301,fo16mar2006bhav,16mar2006,16,mar,2006,3,16,2006,10589
1302,fo17mar2006bhav,17mar2006,17,mar,2006,3,17,2006,10711
1303,fo20mar2006bhav,20mar2006,20,mar,2006,3,20,2006,10665
1304,fo21mar2006bhav,21mar2006,21,mar,2006,3,21,2006,10643
1305,fo22mar2006bhav,22mar2006,22,mar,2006,3,22,2006,10945
1306,fo23mar2006bhav,23mar2006,23,mar,2006,3,23,2006,11052
1307,fo24mar2006bhav,24mar2006,24,mar,2006,3,24,2006,11137
1308,fo27mar2006bhav,27mar2006,27,mar,2006,3,27,2006,11334
1309,fo28mar2006bhav,28mar2006,28,mar,2006,3,28,2006,11295
1310,fo29mar2006bhav,29mar2006,29,mar,2006,3,29,2006,11317
1311,fo30mar2006bhav,30mar2006,30,mar,2006,3,30,2006,13601
1312,fo31mar2006bhav,31mar2006,31,mar,2006,3,31,2006,9379
1313,fo03apr2006bhav,03apr2006,03,apr,2006,4,3,2006,9840
1314,fo04apr2006bhav,04apr2006,04,apr,2006,4,4,2006,10185
1315,fo05apr2006bhav,05apr2006,05,apr,2006,4,5,2006,10576
1316,fo07apr2006bhav,07apr2006,07,apr,2006,4,7,2006,10673
1317,fo10apr2006bhav,10apr2006,10,apr,2006,4,10,2006,10881
1318,fo12apr2006bhav,12apr2006,12,apr,2006,4,12,2006,10998
1319,fo13apr2006bhav,13apr2006,13,apr,2006,4,13,2006,11093
1320,fo17apr2006bhav,17apr2006,17,apr,2006,4,17,2006,11211
1321,fo18apr2006bhav,18apr2006,18,apr,2006,4,18,2006,11211
1322,fo19apr2006bhav,19apr2006,19,apr,2006,4,19,2006,11496
1323,fo20apr2006bhav,20apr2006,20,apr,2006,4,20,2006,11592
1324,fo21apr2006bhav,21apr2006,21,apr,2006,4,21,2006,11321
1325,fo24apr2006bhav,24apr2006,24,apr,2006,4,24,2006,11793
1326,fo25apr2006bhav,25apr2006,25,apr,2006,4,25,2006,11941
1327,fo26apr2006bhav,26apr2006,26,apr,2006,4,26,2006,12102
1328,fo27apr2006bhav,27apr2006,27,apr,2006,4,27,2006,12180
1329,fo28apr2006bhav,28apr2006,28,apr,2006,4,28,2006,9388
1330,fo02may2006bhav,02may2006,02,may,2006,5,2,2006,10009
1331,fo03may2006bhav,03may2006,03,may,2006,5,3,2006,10444
1332,fo04may2006bhav,04may2006,04,may,2006,5,4,2006,10530
1333,fo05may2006bhav,05may2006,05,may,2006,5,5,2006,10322
1334,fo08may2006bhav,08may2006,08,may,2006,5,8,2006,10806
1335,fo09may2006bhav,09may2006,09,may,2006,5,9,2006,10625
1336,fo10may2006bhav,10may2006,10,may,2006,5,10,2006,11295
1337,fo11may2006bhav,11may2006,11,may,2006,5,11,2006,11413
1338,fo12may2006bhav,12may2006,12,may,2006,5,12,2006,11172
1339,fo15may2006bhav,15may2006,15,may,2006,5,15,2006,11227
1340,fo16may2006bhav,16may2006,16,may,2006,5,16,2006,11643
1341,fo17may2006bhav,17may2006,17,may,2006,5,17,2006,11385
1342,fo18may2006bhav,18may2006,18,may,2006,5,18,2006,12214
1343,fo19may2006bhav,19may2006,19,may,2006,5,19,2006,13244
1344,fo22may2006bhav,22may2006,22,may,2006,5,22,2006,14508
1345,fo23may2006bhav,23may2006,23,may,2006,5,23,2006,14810
1346,fo24may2006bhav,24may2006,24,may,2006,5,24,2006,14847
1347,fo25may2006bhav,25may2006,25,may,2006,5,25,2006,16875
1348,fo26may2006bhav,26may2006,26,may,2006,5,26,2006,11489
1349,fo29may2006bhav,29may2006,29,may,2006,5,29,2006,12060
1350,fo30may2006bhav,30may2006,30,may,2006,5,30,2006,11757
1351,fo31may2006bhav,31may2006,31,may,2006,5,31,2006,12404
1352,fo01jun2006bhav,01jun2006,01,jun,2006,6,1,2006,12985
1353,fo02jun2006bhav,02jun2006,02,jun,2006,6,2,2006,13062
1354,fo05jun2006bhav,05jun2006,05,jun,2006,6,5,2006,12771
1355,fo06jun2006bhav,06jun2006,06,jun,2006,6,6,2006,13431
1356,fo07jun2006bhav,07jun2006,07,jun,2006,6,7,2006,14621
1357,fo08jun2006bhav,08jun2006,08,jun,2006,6,8,2006,16556
1358,fo09jun2006bhav,09jun2006,09,jun,2006,6,9,2006,16137
1359,fo12jun2006bhav,12jun2006,12,jun,2006,6,12,2006,13486
1360,fo13jun2006bhav,13jun2006,13,jun,2006,6,13,2006,14241
1361,fo14jun2006bhav,14jun2006,14,jun,2006,6,14,2006,14366
1362,fo15jun2006bhav,15jun2006,15,jun,2006,6,15,2006,14817
1363,fo16jun2006bhav,16jun2006,16,jun,2006,6,16,2006,14802
1364,fo19jun2006bhav,19jun2006,19,jun,2006,6,19,2006,14450
1365,fo20jun2006bhav,20jun2006,20,jun,2006,6,20,2006,14985
1366,fo21jun2006bhav,21jun2006,21,jun,2006,6,21,2006,14977
1367,fo22jun2006bhav,22jun2006,22,jun,2006,6,22,2006,14933
1368,fo23jun2006bhav,23jun2006,23,jun,2006,6,23,2006,14903
1369,fo26jun2006bhav,26jun2006,26,jun,2006,6,26,2006,15063
1370,fo27jun2006bhav,27jun2006,27,jun,2006,6,27,2006,15168
1371,fo28jun2006bhav,28jun2006,28,jun,2006,6,28,2006,14616
1372,fo29jun2006bhav,29jun2006,29,jun,2006,6,29,2006,16917
1373,fo30jun2006bhav,30jun2006,30,jun,2006,6,30,2006,11857
1374,fo03jul2006bhav,03jul2006,03,jul,2006,7,3,2006,11971
1375,fo04jul2006bhav,04jul2006,04,jul,2006,7,4,2006,11965
1376,fo05jul2006bhav,05jul2006,05,jul,2006,7,5,2006,11856
1377,fo06jul2006bhav,06jul2006,06,jul,2006,7,6,2006,12240
1378,fo07jul2006bhav,07jul2006,07,jul,2006,7,7,2006,12317
1379,fo10jul2006bhav,10jul2006,10,jul,2006,7,10,2006,12389
1380,fo11jul2006bhav,11jul2006,11,jul,2006,7,11,2006,11986
1381,fo12jul2006bhav,12jul2006,12,jul,2006,7,12,2006,12517
1382,fo13jul2006bhav,13jul2006,13,jul,2006,7,13,2006,12573
1383,fo14jul2006bhav,14jul2006,14,jul,2006,7,14,2006,12738
1384,fo17jul2006bhav,17jul2006,17,jul,2006,7,17,2006,12716
1385,fo18jul2006bhav,18jul2006,18,jul,2006,7,18,2006,13067
1386,fo19jul2006bhav,19jul2006,19,jul,2006,7,19,2006,13263
1387,fo20jul2006bhav,20jul2006,20,jul,2006,7,20,2006,13250
1388,fo21jul2006bhav,21jul2006,21,jul,2006,7,21,2006,13041
1389,fo24jul2006bhav,24jul2006,24,jul,2006,7,24,2006,13351
1390,fo25jul2006bhav,25jul2006,25,jul,2006,7,25,2006,13100
1391,fo26jul2006bhav,26jul2006,26,jul,2006,7,26,2006,13419
1392,fo27jul2006bhav,27jul2006,27,jul,2006,7,27,2006,15336
1393,fo28jul2006bhav,28jul2006,28,jul,2006,7,28,2006,10018
1394,fo31jul2006bhav,31jul2006,31,jul,2006,7,31,2006,10244
1395,fo01aug2006bhav,01aug2006,01,aug,2006,8,1,2006,10530
1396,fo02aug2006bhav,02aug2006,02,aug,2006,8,2,2006,10689
1397,fo03aug2006bhav,03aug2006,03,aug,2006,8,3,2006,10737
1398,fo04aug2006bhav,04aug2006,04,aug,2006,8,4,2006,10908
1399,fo07aug2006bhav,07aug2006,07,aug,2006,8,7,2006,11016
1400,fo08aug2006bhav,08aug2006,08,aug,2006,8,8,2006,11079
1401,fo09aug2006bhav,09aug2006,09,aug,2006,8,9,2006,11022
1402,fo10aug2006bhav,10aug2006,10,aug,2006,8,10,2006,11251
1403,fo11aug2006bhav,11aug2006,11,aug,2006,8,11,2006,11437
1404,fo14aug2006bhav,14aug2006,14,aug,2006,8,14,2006,11918
1405,fo16aug2006bhav,16aug2006,16,aug,2006,8,16,2006,12269
1406,fo17aug2006bhav,17aug2006,17,aug,2006,8,17,2006,12023
1407,fo18aug2006bhav,18aug2006,18,aug,2006,8,18,2006,12447
1408,fo21aug2006bhav,21aug2006,21,aug,2006,8,21,2006,12960
1409,fo22aug2006bhav,22aug2006,22,aug,2006,8,22,2006,12231
1410,fo23aug2006bhav,23aug2006,23,aug,2006,8,23,2006,12687
1411,fo24aug2006bhav,24aug2006,24,aug,2006,8,24,2006,12732
1412,fo25aug2006bhav,25aug2006,25,aug,2006,8,25,2006,12814
1413,fo28aug2006bhav,28aug2006,28,aug,2006,8,28,2006,12598
1414,fo29aug2006bhav,29aug2006,29,aug,2006,8,29,2006,12779
1415,fo30aug2006bhav,30aug2006,30,aug,2006,8,30,2006,13211
1416,fo31aug2006bhav,31aug2006,31,aug,2006,8,31,2006,14989
1417,fo01sep2006bhav,01sep2006,01,sep,2006,9,1,2006,9942
1418,fo04sep2006bhav,04sep2006,04,sep,2006,9,4,2006,10113
1419,fo05sep2006bhav,05sep2006,05,sep,2006,9,5,2006,10587
1420,fo06sep2006bhav,06sep2006,06,sep,2006,9,6,2006,10437
